area,code,year,total,0-14,15-64,65+
WORLD,900,2015,7383009,1930532,4840579,611897
WORLD,900,2020,7795482,1987646,5078456,729380
WORLD,900,2025,8185614,2017015,5316061,852538
WORLD,900,2030,8551199,2025226,5529029,996944
WORLD,900,2035,8892702,2030995,5709817,1151890
WORLD,900,2040,9210337,2044549,5870689,1295099
WORLD,900,2045,9504210,2064439,6025401,1414370
WORLD,900,2050,9771823,2082813,6142946,1546064
WORLD,900,2055,10011171,2092082,6218691,1700399
WORLD,900,2060,10222598,2090218,6315116,1817264
WORLD,900,2065,10409808,2082369,6424132,1903307
WORLD,900,2070,10575847,2074032,6516557,1985257
WORLD,900,2075,10721964,2067053,6577906,2077005
WORLD,900,2080,10848708,2058470,6615003,2175235
WORLD,900,2085,10957566,2045034,6643038,2269493
WORLD,900,2090,11050055,2025473,6668069,2356513
WORLD,900,2095,11126033,2001139,6687120,2437774
WORLD,900,2100,11184368,1974531,6694423,2515415
More developed regions,901,2015,1253207,206041,826594,220572
More developed regions,901,2020,1269277,208542,815004,245731
More developed regions,901,2025,1281296,206903,803015,271378
More developed regions,901,2030,1289937,203998,790181,295758
More developed regions,901,2035,1295000,200640,781097,313263
More developed regions,901,2040,1297496,198809,771285,327402
More developed regions,901,2045,1298349,199470,762075,336804
More developed regions,901,2050,1298069,201328,751241,345500
More developed regions,901,2055,1296491,202327,740194,353970
More developed regions,901,2060,1293887,201721,734465,357701
More developed regions,901,2065,1290858,200171,734380,356306
More developed regions,901,2070,1288199,198774,734094,355332
More developed regions,901,2075,1286258,198212,729831,358215
More developed regions,901,2080,1285254,198335,724882,362037
More developed regions,901,2085,1284939,198343,719691,366905
More developed regions,901,2090,1285091,197622,715206,372263
More developed regions,901,2095,1285303,196149,712008,377145
More developed regions,901,2100,1284957,194404,709139,381414
Less developed regions,902,2015,6129802,1724492,4013985,391325
Less developed regions,902,2020,6526205,1779104,4263452,483649
Less developed regions,902,2025,6904318,1810112,4513047,581160
Less developed regions,902,2030,7261262,1821228,4738849,701186
Less developed regions,902,2035,7597702,1830356,4928720,838626
Less developed regions,902,2040,7912841,1845739,5099404,967698
Less developed regions,902,2045,8205861,1864969,5263326,1077566
Less developed regions,902,2050,8473754,1881484,5391705,1200565
Less developed regions,902,2055,8714681,1889755,5478497,1346429
Less developed regions,902,2060,8928712,1888498,5580651,1459563
Less developed regions,902,2065,9118951,1882198,5689751,1547001
Less developed regions,902,2070,9287647,1875259,5782463,1629925
Less developed regions,902,2075,9435706,1868841,5848075,1718790
Less developed regions,902,2080,9563455,1860135,5890121,1813198
Less developed regions,902,2085,9672627,1846691,5923347,1902588
Less developed regions,902,2090,9764964,1827851,5952863,1984250
Less developed regions,902,2095,9840730,1804989,5975111,2060629
Less developed regions,902,2100,9899411,1780127,5985283,2134001
Least developed countries,941,2015,956631,384032,538690,33909
Least developed countries,941,2020,1073984,415466,618908,39610
Least developed countries,941,2025,1200441,446710,706468,47263
Least developed countries,941,2030,1334196,477991,798721,57484
Least developed countries,941,2035,1474183,508247,895957,69978
Least developed countries,941,2040,1618985,536774,997513,84698
Least developed countries,941,2045,1767059,562833,1101326,102900
Least developed countries,941,2050,1916742,586051,1205065,125625
Least developed countries,941,2055,2066798,606623,1309463,150712
Least developed countries,941,2060,2215712,624644,1411399,179669
Least developed countries,941,2065,2362084,640372,1508826,212885
Least developed countries,941,2070,2504276,653515,1601030,249731
Least developed countries,941,2075,2640719,663843,1688230,288645
Least developed countries,941,2080,2770009,671146,1770118,328745
Least developed countries,941,2085,2891086,675636,1845227,370223
Least developed countries,941,2090,3003212,677608,1912746,412857
Least developed countries,941,2095,3105922,677332,1971964,456626
Least developed countries,941,2100,3198860,674898,2022642,501321
"Less developed regions, excluding least developed countries",934,2015,5173171,1340460,3475295,357416
"Less developed regions, excluding least developed countries",934,2020,5452221,1363638,3644545,444039
"Less developed regions, excluding least developed countries",934,2025,5703877,1363402,3806579,533896
"Less developed regions, excluding least developed countries",934,2030,5927066,1343236,3940128,643702
"Less developed regions, excluding least developed countries",934,2035,6123520,1322108,4032763,768648
"Less developed regions, excluding least developed countries",934,2040,6293857,1308965,4101891,883000
"Less developed regions, excluding least developed countries",934,2045,6438801,1302136,4161999,974666
"Less developed regions, excluding least developed countries",934,2050,6557013,1295433,4186640,1074939
"Less developed regions, excluding least developed countries",934,2055,6647883,1283132,4169034,1195717
"Less developed regions, excluding least developed countries",934,2060,6713000,1263853,4169252,1279894
"Less developed regions, excluding least developed countries",934,2065,6756866,1241826,4180925,1334116
"Less developed regions, excluding least developed countries",934,2070,6783371,1221744,4181433,1380194
"Less developed regions, excluding least developed countries",934,2075,6794987,1204998,4159844,1430145
"Less developed regions, excluding least developed countries",934,2080,6793446,1188989,4120004,1484453
"Less developed regions, excluding least developed countries",934,2085,6781541,1171056,4078120,1532365
"Less developed regions, excluding least developed countries",934,2090,6761752,1150243,4040117,1571392
"Less developed regions, excluding least developed countries",934,2095,6734808,1127657,4003148,1604003
"Less developed regions, excluding least developed countries",934,2100,6700551,1105229,3962642,1632680
"Less developed regions, excluding China",948,2015,4701441,1473301,2976027,252113
"Less developed regions, excluding China",948,2020,5069640,1526208,3238572,304860
"Less developed regions, excluding China",948,2025,5432967,1566241,3495726,371001
"Less developed regions, excluding China",948,2030,5787196,1595045,3744638,447513
"Less developed regions, excluding China",948,2035,6131182,1619745,3980794,530644
"Less developed regions, excluding China",948,2040,6462522,1644108,4198187,620227
"Less developed regions, excluding China",948,2045,6779060,1667517,4392759,718784
"Less developed regions, excluding China",948,2050,7077398,1687025,4559601,830772
"Less developed regions, excluding China",948,2055,7354884,1700205,4709552,945127
"Less developed regions, excluding China",948,2060,7609339,1706338,4847856,1055145
"Less developed regions, excluding China",948,2065,7840827,1707865,4974941,1158022
"Less developed regions, excluding China",948,2070,8049438,1707002,5085983,1256453
"Less developed regions, excluding China",948,2075,8235632,1704386,5175845,1355401
"Less developed regions, excluding China",948,2080,8399843,1698446,5247261,1454135
"Less developed regions, excluding China",948,2085,8542892,1688183,5306183,1548526
"Less developed regions, excluding China",948,2090,8665641,1673546,5354869,1637225
"Less developed regions, excluding China",948,2095,8768456,1655374,5392235,1720847
"Less developed regions, excluding China",948,2100,8852508,1634784,5416342,1801382
High-income countries,1503,2015,1180061,197534,781722,200805
High-income countries,1503,2020,1207775,198349,783600,225827
High-income countries,1503,2025,1230492,197790,779790,252912
High-income countries,1503,2030,1249896,197890,771613,280394
High-income countries,1503,2035,1264922,196684,764431,303807
High-income countries,1503,2040,1275679,195295,757625,322759
High-income countries,1503,2045,1282990,194714,752717,335559
High-income countries,1503,2050,1287798,195131,746936,345731
High-income countries,1503,2055,1290411,195953,740745,353712
High-income countries,1503,2060,1291438,196452,734188,360798
High-income countries,1503,2065,1291556,196273,731032,364251
High-income countries,1503,2070,1291296,195512,729427,366357
High-income countries,1503,2075,1290768,194617,725718,370434
High-income countries,1503,2080,1290199,193988,722473,373739
High-income countries,1503,2085,1289575,193595,717973,378007
High-income countries,1503,2090,1289124,193170,713033,382920
High-income countries,1503,2095,1288791,192390,708367,388034
High-income countries,1503,2100,1288172,191175,704067,392929
Middle-income countries,1517,2015,5558264,1456905,3712004,389355
Middle-income countries,1517,2020,5852576,1484348,3889805,478423
Middle-income countries,1517,2025,6121661,1485981,4065820,569860
Middle-income countries,1517,2030,6362054,1465973,4214700,681381
Middle-income countries,1517,2035,6576010,1445443,4324792,805775
Middle-income countries,1517,2040,6764840,1434271,4409480,921089
Middle-income countries,1517,2045,6929182,1430810,4481561,1016811
Middle-income countries,1517,2050,7067079,1427522,4515070,1124488
Middle-income countries,1517,2055,7177427,1417342,4505645,1254439
Middle-income countries,1517,2060,7261389,1398900,4518142,1344347
Middle-income countries,1517,2065,7323333,1377450,4542973,1402910
Middle-income countries,1517,2070,7367298,1358545,4553760,1454994
Middle-income countries,1517,2075,7395932,1343666,4540478,1511788
Middle-income countries,1517,2080,7410952,1329598,4507706,1573649
Middle-income countries,1517,2085,7415029,1312975,4473325,1628729
